hours,block,wl,die,vt
18,3,10,45,16
18,3,31,64,16
18,3,31,91,16
18,4,31,16,16
18,4,31,17,16
18,4,31,91,16
18,4,31,97,16
18,5,10,45,16
18,5,31,17,16
18,5,31,23,17
18,5,31,45,17
18,5,31,58,16
18,5,31,71,16
18,5,31,91,16
18,5,31,123,16
18,6,31,58,16
18,6,31,91,17
18,6,31,123,16
18,7,31,16,16
18,7,31,23,16
18,7,31,33,16
18,7,31,45,17
18,7,31,49,16
18,7,31,54,16
18,7,31,61,16
18,7,31,64,17
18,7,31,71,16
18,7,31,76,16
18,7,31,91,16
18,7,31,96,16
18,7,31,97,16
18,7,31,108,16
18,7,31,123,16
18,8,10,12,16
18,8,10,23,16
18,8,10,33,16
18,8,10,45,16
18,8,10,59,16
18,8,10,61,16
18,8,10,64,16
18,8,10,65,16
18,8,10,71,16
18,8,10,76,16
18,8,10,90,16
18,8,10,91,16
18,8,10,93,16
18,8,10,97,16
18,8,10,102,16
18,8,10,108,16
18,8,10,122,16
18,8,10,123,16
18,8,10,124,16
18,8,16,75,16
18,8,16,121,16
18,8,25,121,16
18,8,38,0,30
18,8,38,1,30
18,8,38,2,30
18,8,38,3,30
18,8,38,4,30
18,8,38,5,30
18,8,38,6,30
18,8,38,7,30
18,8,38,8,30
18,8,38,9,30
18,8,38,10,30
18,8,38,11,30
18,8,38,12,30
18,8,38,13,30
18,8,38,14,30
18,8,38,15,30
18,8,38,16,30
18,8,38,17,30
18,8,38,18,30
18,8,38,19,30
18,8,38,20,30
18,8,38,21,30
18,8,38,22,30
18,8,38,23,30
18,8,38,24,30
18,8,38,25,30
18,8,38,26,30
18,8,38,27,30
18,8,38,28,30
18,8,38,29,30
18,8,38,30,30
18,8,38,31,30
18,8,38,32,30
18,8,38,33,30
18,8,38,34,30
18,8,38,35,30
18,8,38,36,30
18,8,38,37,30
18,8,38,38,30
18,8,38,39,30
18,8,38,40,30
18,8,38,41,30
18,8,38,42,30
18,8,38,43,30
18,8,38,44,30
18,8,38,45,30
18,8,38,46,30
18,8,38,47,30
18,8,38,48,30
18,8,38,49,30
18,8,38,50,30
18,8,38,51,30
18,8,38,52,30
18,8,38,53,30
18,8,38,54,30
18,8,38,55,30
18,8,38,56,30
18,8,38,57,30
18,8,38,58,30
18,8,38,59,30
18,8,38,60,30
18,8,38,61,30
18,8,38,62,30
18,8,38,63,30
18,8,38,64,30
18,8,38,65,30
18,8,38,66,30
18,8,38,67,30
18,8,38,68,30
18,8,38,69,30
18,8,38,70,30
18,8,38,71,30
18,8,38,72,30
18,8,38,73,30
18,8,38,74,30
18,8,38,75,30
18,8,38,76,30
18,8,38,77,30
18,8,38,78,30
18,8,38,79,30
18,8,38,80,30
18,8,38,81,30
18,8,38,82,30
18,8,38,83,30
18,8,38,84,30
18,8,38,85,30
18,8,38,86,30
18,8,38,87,30
18,8,38,88,30
18,8,38,89,30
18,8,38,90,30
18,8,38,91,30
18,8,38,92,30
18,8,38,93,30
18,8,38,94,30
18,8,38,95,30
18,8,38,96,30
18,8,38,97,30
18,8,38,98,30
18,8,38,99,30
18,8,38,100,30
18,8,38,101,30
18,8,38,102,30
18,8,38,103,30
18,8,38,104,30
18,8,38,105,30
18,8,38,106,30
18,8,38,107,30
18,8,38,108,30
18,8,38,109,30
18,8,38,110,30
18,8,38,111,30
18,8,38,112,30
18,8,38,113,30
18,8,38,114,30
18,8,38,115,30
18,8,38,116,30
18,8,38,117,30
18,8,38,118,30
18,8,38,119,30
18,8,38,120,30
18,8,38,121,30
18,8,38,122,30
18,8,38,123,30
18,8,38,124,30
18,8,38,125,30
18,8,38,126,30
18,8,38,127,30
18,12,10,45,16
18,12,31,16,16
18,12,31,17,16
18,12,31,23,17
18,12,31,33,16
18,12,31,64,16
18,12,31,71,16
18,12,31,76,16
18,12,31,90,16
18,12,31,91,17
18,12,31,123,16
18,13,10,45,16
18,13,31,16,16
18,13,31,17,16
18,13,31,23,16
18,13,31,33,16
18,13,31,54,16
18,13,31,58,16
18,13,31,61,16
18,13,31,65,16
18,13,31,71,17
18,13,31,76,16
18,13,31,90,16
18,13,31,91,16
18,13,31,97,17
18,13,31,123,17
18,14,31,16,16
18,14,31,17,16
18,14,31,23,16
18,14,31,33,16
18,14,31,58,16
18,14,31,64,16
18,14,31,65,16
18,14,31,91,16
18,14,31,108,17
18,14,31,123,16
18,17,31,16,16
18,17,31,17,16
18,17,31,23,16
18,17,31,58,16
18,17,31,61,16
18,17,31,71,17
18,17,31,90,16
18,17,31,97,16
18,17,31,108,16
18,17,31,123,16
18,18,10,45,16
18,18,31,16,16
18,18,31,17,16
18,18,31,54,17
18,18,31,58,16
18,18,31,91,16
18,18,31,97,16
18,18,31,123,16
18,20,31,16,16
18,20,31,17,16
18,20,31,45,16
18,20,31,54,16
18,20,31,58,16
18,20,31,59,16
18,20,31,71,16
18,20,31,97,16
18,20,31,108,16
18,20,31,123,16
18,21,10,45,16
18,21,31,16,16
18,21,31,17,16
18,21,31,33,16
18,21,31,54,16
18,21,31,71,16
18,21,31,76,16
18,21,31,90,17
18,21,31,91,16
18,21,31,123,16
18,24,31,16,16
18,24,31,17,17
18,24,31,23,16
18,24,31,64,16
18,24,31,91,16
18,24,31,97,16
18,24,31,102,16
18,24,31,123,16
18,25,31,16,16
18,25,31,17,16
18,25,31,23,16
18,25,31,33,16
18,25,31,54,16
18,25,31,58,16
18,25,31,59,16
18,25,31,64,16
18,25,31,65,16
18,25,31,71,16
18,25,31,76,16
18,25,31,91,16
18,25,31,97,16
18,25,31,123,16
18,27,31,16,16
18,27,31,17,16
18,27,31,33,16
18,27,31,54,16
18,27,31,58,16
18,27,31,64,16
18,27,31,71,16
18,27,31,91,16
18,27,31,96,16
18,27,31,97,16
18,27,31,108,16
18,27,31,123,16
18,29,31,17,16
18,29,31,123,17
18,30,31,16,16
18,30,31,45,16
18,30,31,54,16
18,30,31,71,16
18,30,31,91,16
18,30,31,97,16
18,30,31,123,16
18,31,10,45,16
18,31,31,16,16
18,31,31,17,16
18,31,31,59,16
18,31,31,64,16
18,31,31,65,17
18,31,31,71,16
18,31,31,76,16
18,31,31,90,16
18,31,31,91,16
18,31,31,97,16
18,31,31,123,16
18,32,31,16,16
18,32,31,33,16
18,32,31,45,16
18,32,31,54,16
18,32,31,58,16
18,32,31,65,16
18,32,31,71,17
18,32,31,90,16
18,32,31,91,16
18,32,31,97,16
18,32,31,123,16
18,33,10,45,16
18,33,31,16,16
18,33,31,17,16
18,33,31,33,17
18,33,31,45,16
18,33,31,58,16
18,33,31,64,16
18,33,31,91,16
18,33,31,97,16
18,34,31,16,17
18,34,31,17,16
18,34,31,23,16
18,34,31,58,16
18,34,31,71,16
18,34,31,90,17
18,34,31,91,17
18,34,31,123,16
18,36,10,45,16
18,36,31,16,16
18,36,31,17,16
18,36,31,23,16
18,36,31,33,16
18,36,31,45,16
18,36,31,54,16
18,36,31,64,16
18,36,31,65,17
18,36,31,71,16
18,36,31,91,16
18,36,31,97,16
18,36,31,123,16
18,37,31,12,16
18,37,31,16,16
18,37,31,17,16
18,37,31,23,16
18,37,31,45,16
18,37,31,49,16
18,37,31,64,16
18,37,31,90,16
18,37,31,91,16
18,37,31,97,16
18,37,31,123,16
18,39,31,16,17
18,39,31,17,16
18,39,31,23,16
18,39,31,33,16
18,39,31,45,16
18,39,31,49,16
18,39,31,58,16
18,39,31,61,16
18,39,31,64,16
18,39,31,65,16
18,39,31,71,17
18,39,31,76,16
18,39,31,91,16
18,39,31,92,16
18,39,31,97,17
18,39,31,123,16
18,40,10,45,16
18,40,31,16,16
18,40,31,23,16
18,40,31,33,16
18,40,31,45,16
18,40,31,49,16
18,40,31,54,16
18,40,31,58,16
18,40,31,64,16
18,40,31,65,17
18,40,31,71,16
18,40,31,90,16
18,40,31,91,16
18,40,31,96,16
18,40,31,97,16
18,40,31,122,16
18,40,31,123,16
18,41,31,17,16
18,41,31,58,16
18,41,31,91,16
18,41,31,123,17
18,42,31,16,16
18,42,31,23,17
18,42,31,33,16
18,42,31,45,16
18,42,31,49,16
18,42,31,54,16
18,42,31,58,16
18,42,31,61,16
18,42,31,64,16
18,42,31,65,16
18,42,31,76,16
18,42,31,90,16
18,42,31,91,16
18,42,31,96,16
18,42,31,123,16
18,44,10,45,16
18,44,31,16,16
18,44,31,17,16
18,44,31,23,16
18,44,31,33,16
18,44,31,45,16
18,44,31,54,16
18,44,31,58,16
18,44,31,64,16
18,44,31,65,16
18,44,31,71,16
18,44,31,76,16
18,44,31,96,16
18,44,31,97,16
18,44,31,108,16
18,44,31,123,16
18,44,31,124,16
18,45,36,1,31
18,45,36,2,31
18,45,36,8,31
18,45,36,9,31
18,45,36,13,31
18,45,36,14,31
18,45,36,15,31
18,45,36,23,31
18,45,36,24,31
