hours,block,wl,die,vt
9,13,31,58,16
9,24,31,58,16
9,64,31,58,16
9,71,31,58,16
9,79,31,58,16
9,101,31,58,16
9,104,31,58,16
9,110,36,1,31
9,110,36,7,46
9,110,36,9,31
9,110,36,10,31
9,110,36,19,31
9,110,36,23,31
9,110,36,24,46
9,110,36,25,46
9,110,36,42,31
9,110,36,47,31
9,110,36,55,31
9,110,36,56,46
9,110,36,57,31
9,110,36,59,31
9,110,36,63,31
9,110,36,80,31
9,110,36,81,31
9,110,36,88,31
9,110,36,89,31
9,110,36,94,31
9,110,36,95,46
9,110,36,103,31
9,110,36,126,31
9,110,38,0,30
9,110,38,1,30
9,110,38,2,30
9,110,38,3,30
9,110,38,4,30
9,110,38,5,30
9,110,38,6,30
9,110,38,7,30
9,110,38,8,30
9,110,38,15,30
9,110,38,16,30
9,110,38,17,30
9,110,38,18,30
9,110,38,19,30
9,110,38,20,30
9,110,38,21,30
9,110,38,28,30
9,110,38,29,30
9,110,38,30,30
9,110,38,31,30
9,110,38,32,30
9,110,38,33,30
9,110,38,34,30
9,110,38,41,30
9,110,38,42,30
9,110,38,43,30
9,110,38,44,30
9,110,38,45,30
9,110,38,46,30
9,110,38,47,30
9,110,38,54,30
9,110,38,55,30
9,110,38,56,30
9,110,38,57,30
9,110,38,58,30
9,110,38,59,30
9,110,38,61,30
9,110,38,68,30
9,110,38,69,30
9,110,38,70,30
9,110,38,71,30
9,110,38,72,30
9,110,38,73,30
9,110,38,74,30
9,110,38,81,30
9,110,38,82,30
9,110,38,83,30
9,110,38,85,30
9,110,38,86,30
9,110,38,87,30
9,110,38,88,30
9,110,38,95,30
9,110,38,96,30
9,110,38,97,30
9,110,38,98,30
9,110,38,99,30
9,110,38,100,30
9,110,38,101,30
9,110,38,107,30
9,110,38,108,30
9,110,38,109,30
9,110,38,111,30
9,110,38,112,30
9,110,38,113,30
9,110,38,119,30
9,110,38,120,30
9,110,38,121,31
9,110,38,122,30
9,110,38,123,30
9,110,38,124,30
9,140,10,45,16
9,140,31,12,16
9,140,31,16,17
9,140,31,17,17
9,140,31,23,17
9,140,31,33,17
9,140,31,45,17
9,140,31,49,16
9,140,31,71,17
9,140,31,76,17
9,140,31,86,17
9,140,31,90,17
9,140,31,91,17
9,140,31,92,16
9,140,31,93,17
9,140,31,125,17
9,141,10,45,17
9,141,31,1,17
9,141,31,12,17
9,141,31,16,16
9,141,31,17,16
9,141,31,23,17
9,141,31,33,16
9,141,31,45,17
9,141,31,65,17
9,141,31,71,17
9,141,31,76,17
9,141,31,86,17
9,141,31,90,17
9,141,31,91,17
9,141,31,92,17
9,141,31,123,17
9,141,31,124,17
9,143,30,23,17
9,143,31,12,17
9,143,31,13,17
9,143,31,16,17
9,143,31,17,16
9,143,31,23,17
9,143,31,33,17
9,143,31,45,17
9,143,31,64,17
9,143,31,65,17
9,143,31,71,16
9,143,31,76,16
9,143,31,90,17
9,143,31,91,17
9,143,31,92,17
9,144,10,45,17
9,144,31,12,17
9,144,31,16,17
9,144,31,17,17
9,144,31,23,17
9,144,31,33,17
9,144,31,45,17
9,144,31,48,16
9,144,31,76,16
9,144,31,90,17
9,144,31,91,17
9,144,31,97,17
9,144,31,108,17
9,144,31,123,17
9,144,31,124,17
9,146,31,12,17
9,146,31,16,17
9,146,31,17,17
9,146,31,33,17
9,146,31,44,17
9,146,31,45,17
9,146,31,48,16
9,146,31,86,17
9,146,31,90,17
9,146,31,91,17
9,146,31,97,17
9,146,31,108,17
9,146,31,123,16
9,147,31,12,17
9,147,31,16,17
9,147,31,17,17
9,147,31,23,16
9,147,31,33,17
9,147,31,45,16
9,147,31,48,17
9,147,31,71,16
9,147,31,76,17
9,147,31,86,17
9,147,31,90,17
9,147,31,91,17
9,147,31,93,17
9,147,31,97,17
9,148,31,12,17
9,148,31,16,17
9,148,31,17,17
9,148,31,33,17
9,148,31,45,17
9,148,31,48,17
9,148,31,54,17
9,148,31,86,17
9,148,31,90,17
9,148,31,91,17
9,148,31,92,17
9,148,31,93,17
9,148,31,97,17
9,148,31,108,16
9,149,31,1,17
9,149,31,12,17
9,149,31,16,17
9,149,31,17,16
9,149,31,32,17
9,149,31,33,16
9,149,31,45,17
9,149,31,65,17
9,149,31,71,17
9,149,31,76,17
9,149,31,90,17
9,149,31,91,17
9,149,31,93,17
9,149,31,97,16
9,151,31,12,17
9,151,31,16,17
9,151,31,17,17
9,151,31,23,16
9,151,31,32,16
9,151,31,33,17
9,151,31,45,17
9,151,31,71,16
9,151,31,76,17
9,151,31,77,17
9,151,31,90,17
9,151,31,91,17
9,151,31,93,17
9,151,31,97,17
9,152,31,12,17
9,152,31,16,17
9,152,31,17,17
9,152,31,23,17
9,152,31,33,16
9,152,31,45,17
9,152,31,48,17
9,152,31,71,17
9,152,31,76,16
9,152,31,90,17
9,152,31,91,17
9,152,31,92,17
9,152,31,93,17
9,152,31,96,17
9,153,10,45,16
9,153,31,1,17
9,153,31,12,17
9,153,31,16,17
9,153,31,17,16
9,153,31,23,16
9,153,31,32,16
9,153,31,33,17
9,153,31,58,17
9,153,31,59,17
9,153,31,61,17
9,153,31,64,16
9,153,31,65,16
9,153,31,71,17
9,153,31,76,16
9,153,31,97,17
9,153,31,108,17
9,153,31,122,17
9,153,31,123,16
9,153,31,124,17
9,153,31,125,17
9,155,10,45,16
9,155,31,12,17
9,155,31,16,17
9,155,31,17,16
9,155,31,23,17
9,155,31,33,16
9,155,31,45,17
9,155,31,48,17
9,155,31,65,17
9,155,31,71,17
9,155,31,76,17
9,155,31,90,17
9,155,31,91,17
9,155,31,92,17
9,155,31,93,17
9,155,31,124,17
9,155,31,125,17
9,156,10,45,16
9,156,31,12,17
9,156,31,16,16
9,156,31,17,16
9,156,31,23,17
9,156,31,33,17
9,156,31,44,17
9,156,31,45,17
9,156,31,64,17
9,156,31,65,17
9,156,31,71,17
9,156,31,76,16
9,156,31,86,17
9,156,31,90,17
9,156,31,91,17
9,156,31,124,16
9,156,31,125,17
9,158,10,45,16
9,158,31,12,17
9,158,31,16,17
9,158,31,17,16
9,158,31,23,17
9,158,31,32,16
9,158,31,33,16
9,158,31,44,17
9,158,31,64,17
9,158,31,65,17
9,158,31,71,17
9,158,31,76,17
9,158,31,86,17
9,158,31,90,17
9,158,31,91,17
9,158,31,123,17
9,158,31,124,17
9,158,31,125,17
9,159,10,45,16
9,159,36,0,30
9,159,36,1,30
9,159,36,2,30
9,159,36,3,30
9,159,36,5,31
9,159,36,6,30
9,159,36,7,31
9,159,36,8,21
9,159,36,15,31
9,159,36,16,30
9,159,36,17,30
9,159,36,18,30
9,159,36,19,21
9,159,36,20,30
9,159,36,21,30
9,159,36,28,30
9,159,36,29,31
9,159,36,30,30
9,159,36,31,31
9,159,36,32,30
9,159,36,33,30
9,159,36,34,30
9,159,36,41,21
9,159,36,42,30
9,159,36,43,30
9,159,36,44,31
9,159,36,45,30
9,159,36,46,30
9,159,36,47,31
9,159,36,54,31
9,159,36,55,31
9,159,36,56,30
9,159,36,57,30
9,159,36,58,30
9,159,36,59,30
9,159,36,60,31
9,159,36,67,30
9,159,36,68,30
9,159,36,69,30
9,159,36,70,30
9,159,36,71,31
9,159,36,72,30
9,159,36,73,21
9,159,36,80,31
9,159,36,81,30
9,159,36,82,31
9,159,36,83,31
9,159,36,84,30
9,159,36,85,30
9,159,36,86,31
9,159,36,93,30
9,159,36,94,30
9,159,36,95,30
9,159,36,96,30
9,159,36,97,30
9,159,36,98,30
9,159,36,99,31
9,159,36,105,21
9,159,36,106,30
9,159,36,107,31
9,159,36,108,30
9,159,36,109,30
9,159,36,110,30
9,159,36,117,31
9,159,36,118,31
9,159,36,119,21
9,159,36,120,30
9,159,36,121,30
9,159,36,122,31
9,159,37,7,30
9,159,37,13,30
9,159,37,15,30
9,159,37,22,30
9,159,37,23,30
9,159,37,29,30
9,159,37,31,30
9,159,37,54,31
9,159,37,55,30
9,159,37,58,30
9,159,37,59,30
9,159,37,61,30
9,159,37,64,30
9,159,37,71,30
9,159,37,102,30
9,159,37,103,30
9,159,37,111,30
9,159,37,122,30
9,159,37,124,30
9,159,37,127,30
